TAG	CATEGORY	NOTES / TRANSLATION
本田珠輝		Tamaki Honda
本田未央		Mio Honda
本条寺あきら		Akira Honjouji
本当は怖い幻想郷		Gensokyo is actually scary
未花		Mika
未経験(だった)		Inexperienced (I was)
未来(閃乱カグラ)	©	Mirai (Senran Kagura)
未亡人		Widow
木漏れ日		Sunlight filtering through the trees
朝顔ハナエ(応援団)	©	Hanae Asagao (Oendan)
朝顔		Morning glory
朝霧陽子		Yoko Asagiri
朝潮(艦隊これくしょん)	©	Asashio (Kantai Collection)
朝潮		Asashio
朝比奈まふゆ		Mafuyu Asahina
朝ヶ谷琳		Rin Asagaya
望月穂波		Honami Mochizuki
服部半蔵鮎香		Ayuka Hattori Hanzo
服交換		Clothes exchange
服の上から乳を吸う	tit	Sucking breasts over clothes
服と自由を奪われた状態で顔以外鞭打ち	ryona	Whipping everywhere except the face while deprived of clothes and freedom
有馬かな		Kana Arima
有栖川夏葉		Natsuha Arisugawa
月里光		Hikari Tsukisato
月読調		Shirabe Tsukuyomi
月読アイ		Ai Tsukimura
月村手毬		Tsukimura Temari
月岡恋鐘/白瀬咲耶/桑山千雪/有栖川夏葉		Kogane Tsukioka / Sakuya Shirase / Chiyuki Kuwayama / Natsuha Arisugawa
月光(閃乱カグラ)	©	Gekkou (Senran Kagura)
月の獅子		Lion of the Moon
月		Moon
最高の笑顔		Best smile
最愛チアモ		My dearest Cheerleader
最古シリーズ		Oldest series
最上(艦隊これくしょん)	©	Mogami (Kantai Collection)
最カワ☆		Cutest☆
書道		Calligraphy
書初め		First calligraphy of the year
更衣室		Changing room
曲(パニグレ)		Song (Punishing Grey)
曲		Song
曙		Dawn
暴露		Exposure
暴雨		Storm
暴力		Storm Power
暗黒プリンセス		Dark Princess
暑中見舞い		Summer Greeting Card
暁美ほむら		Akemi Homura
暁山瑞希		Akiyama Mizuki
暁切歌		Akatsuki Kirika
晴れ着		Formal Attire
普瑞賽斯		Pruiser
普尔亚		Pruiser
時雨改二		Shigure Kai Ni
時津風		Tokitsukaze
時崎狂三		Tokisaki Kurumi
昼寝好きのラピヌ		Lapine, the Nap-Loving One
昼寝		Nap
春原彩花		Sunohara Ayaka
春原シュン		Sunohara Shun
春先のどか		Harusaki Nodoka
春乃撫子		Haruno Nadeshiko
春丽		Haruno Rei
春の習い		Spring Practice
映姫		Eiki
星野ルビー		Hoshino Ruby
星野ありす		Hoshino Alice
星輝子		Hoshi Teruko
星见雅		Hoshimi Miyabi
星空		Starry Sky
星汐seki		Hoshishio Seki
星欲少女		Star-Desire Girl
星柄パンツ		Star Patterned Pants
星条旗ビキニ	swim	Stars and Stripes Bikini
星律动		Starry Rhythm
星奈		Hoshina
星塔旅人		Hoshito Tabibito
星ホタ		Hoshi Hota
昔の金箔と同レベルの封入。。		Enclosed at the same level as the old gold foil.
昏昏アリア		Konkon Aria
明石		Akashi
明前奶绿	milk	Green breast milk
早乙女乱馬		Saotome Ranma
早乙女らんま		Saotome Ranma
旧スク水	swim	Old School Swimsuit
旧スク	swim	Old School Swimsuit
日野森志歩		Hinomori Shiho
日焼		Sunburn
日本刀		Japanese Sword
日本アニメ(-ター)見本市	event	Japan Animator Expo
日影(閃乱カグラ)	©	Hikage (Senran Kagura)
日常		Everyday Life
日向雏田		Hinata Hina
日下部みさお		Kusakabe Misao
既成事実		Established Fact
无量塔姬子		Muryoto Himeko
无修		Unrepaired
旗風(艦隊これくしょん)	©	Hatakaze (Kantai Collection)
旗風		Hatakaze
旋光の輪舞		Senko no Rondo
新田ーニャ		Nitta Nya
新年雪合戦		New Year's Snowball Fight
新島真		Niijima Makoto
新山みすず		Niiyama Misuzu
新刊サンプル		New Book Sample
新入生		New Student
新党のほほん		New Party Nohohon
新体操		Rhythmic Gymnastics
新しい表現		New Expression
断髪		Haircut
断面		Cross-section
斬妖Raksasi		Raksasi the Demon Slayer
斗罗大陆		Tou Luo Continent
斗破苍穹		Tou Ha Cang Qiu
斑鳩ルカ		Ikaruga Luka
斎森美世		Saimori Miyo
斉藤洋子		Saito Yoko
文化祭		Cultural Festival
文		Text
敵艦隊のチャイドル	©	Enemy Fleet's Child Idol
敵艦隊のグラドル	©	Enemy Fleet's Gravure Idol
整備士		Mechanic
教堂		Church
敗北者		Loser
敖闰		Ao An
放送事故		Broadcast Accident
放課後		After School
放心		Dazed
放尿プレイ	uro	Piss play
攻撃ボタン長押し状態!!		Attack Button Long Press!!
改造人間		Cyborg
支配の悪魔		Dominating Demon
攝影		Photography
擬獣化		Anthropomorphism
擬牝台		Anthropomorphic Female Table
擬人		Personification
撮影会		Photo Shoot
撮る人は撮られる人		The Photographer is the Photographed
撫で回したくなる尻		A Butt You Want to Stroke
撞球台		Billiard Table
摩耶(艦隊これくしょん)	©	Maya (Kantai Collection)
摩多羅隠岐奈		Matara Okina
搾精艦		Squeeze Fine ship
搾乳器	milk gear	Milking machine
搖滾是淑女的嗜好		Rolling is a lady's preference
揺れる胸	tit	Shaking breasts
援助交配		Assisted mating
援交の御子		Child of compensated dating
插圖		Illustration
描かせていただきました		I was allowed to draw it
描いてもいいのよ(レス		You can draw it (reply)
揉みしだきたい		I want to knead them
揉みしだき		Knead them
掴み易い髪の毛		Easy-to-grab hair
掴みシーツ		Grab the sheets
掰穴		Pull the hole
接写		Close-up
探検ドリランド		Exploration Driland
授業		Class
授乳手マン	tit milk dick	Breastfeeding handjob
授乳ブラ	tit	Breastfeeding bra
捨て猫		Stray cat
捕食		Predation
捕獲		Capture
挟尿	tit uro	Piss between breasts
挟みたい乳	tit	Breasts I want to hold between
挟まれたい		I want to be held between
指輪コキ	mouth dick	Ring blowjob
指輪っか手コキ	dick	Ring handjob
指輪っか		Ring
指揮官(アズールレーン)	©	Commander (Azur Lane)
指折り		Finger counting
指南ショーコ		Instructor Shoko
指切り		Finger Cutting
指入れ	insert	Finger insertion
指ブラ		Finger bra
指フェラ	mouth	Finger fellatio
指チュパ		Finger sucking
指コキ	dick	Finger job
指ぬきグローブ		Fingerless glove
持物戦争		Possession war
拳銃		Handgun
拡張/拡張済み/Dilation_belt/ガバマン/肉便器	uro	Expansion/Expanded/Dilation_belt/Gabaman/Meat toilet
拘束絶頂		Restrained orgasm
拘束ミトン		Restrained mittens
拘束おもらし		Restrained wetting
拘束/緊縛	bond	Restrained/Bondage
拘束/ニードルプレイ/器具くぱぁ/ぐぱぁ/拡張済み		Restrained/Needle play/Device spread open/Gooey/Expanded
拘束/ぐぱぁ/拡張		Restrained/Gooey/Expanded
拉珠		Picking up
抽腸		Enema
押田(GuP)	©	Oshida (GuP)
押し倒し		Pushing down
押しボタン式信号機		Push-button traffic light
抱きしめる		Hugging
护士		Nurse
技絵		Technique drawing
扳机		Pushing machine
托卵		Cuckooing
打屁股	ass	Hitting Buttocks
才羽ミドリ		Saiha Midori
手錠/鎖/ずらし挿入/騎乗位/キャミソール/肩紐ずらし	insert	Handcuffs/Chains/Sliding Insertion/Cowgirl Position/Camisole/Sliding Shoulder Straps
手綱乳首	nip	Nipple Reins
手淫	mast	Masturbation
手ブラは洋服		Hand Bra as Clothing
手ハート		Hand Heart
手コキ素振り	dick	Handjob Practice
手ぶら		Handless
扇風機ぶわさ		Fan Blowing
所恵美		Tokoro Megumi
戦闘員		Combatant
戦術教官ケイティ		Tactical Instructor Katie
戦艦少女R		Battleship Girl R
戦艦ル級		Battleship Ru-class
戦士♀︎		Warrior♀︎
戦場のヴァルキュリア		Valkyria Chronicles
戦國ストレイズ		Sengoku Strays
戦国ランス		Sengoku Rance
戦国コレクション		Sengoku Collection
戦国IXA		Sengoku IXA
戦利品		Spoils of War
戦刃むくろ		Ikusaba Mukuro
戦争の悪魔		Demon of War
戦乙女エミリア		Valkyrie Emilia
战败		Defeated
战舰少女R		Battleship Girl R
战绳		War rope
战双帕弥什		War double-pepper Mish
我的愛人		My lover
我慢		Patience
我恨你像块木头		I hate you like a piece of wood
我妻由乃		My wife Yuno
我が子を孕め		Conceive my child
我々の業界では最上のご褒美です		It's the highest reward in our industry
我々の宗派では神徳です		It's a divine virtue in our sect
成熟		Maturity
成海萌奈		Narumi Mona
成人向け		Adult content
懺悔室		Confession booth
懶妹		Lazy girl
懲罰		Punishment
感度3000倍		Sensitivity 3000 times higher
愛麗絲·泰姆菲爾德		Elise Tamfild
愛清フウカ		Aisei Fuuka
愛液飲ませ		Let me drink your love juice
愛液トロトロおまんこ	pussy	Your pussy is dripping with love juice
愛園愛美		Aizono Aimi
愛原ほなみ		Aihara Honami
愛の蜜		The nectar of love
愛のあるアナルセックス	anal	Anal Sex with Love
愛と希望の暁星		A Dawn Star of Love and Hope
惚れときどきヌクもり		Infatuation and Occasional Warmth
悪魔羽		Demon Wings
悪魔祓い		Exorcism
悪魔姉妹		Demon Sisters
悪魔城ドラキュラ		Castlevania
悪魔のヘアバンド		Demon Headband
悪魔っ子		Demon Girl
悪鬼スマイル		Evil Demon Smile
悪戯		Mischief
悪役令嬢		Villainess
悪堕		Fallen into Evil
悪キュアビューティ		Evil Cure Beauty
悩殺		Captivating
悠久幻想曲		Eternal Fantasy
恵庭椎		Eniwa Shiina
恥ずかしい滝		Embarrassing Waterfall
恥じらい		Shyness
恒例行事		Regular Event
恐怖脱糞	sca	fear-induced defecation
恐怖に支配された鎮守府		Naval Base Dominated by Terror
恐怖		Terror
恐山アンナ		Osoreyama Anna
恍惚		Ecstasy
恋慕のコンパニオン		A Companion of Love
恋愛		Romance
怪盗ジャンヌ		Phantom Thief Jeanne
怪物		Monster
怪奇ゾーングラビティフォールズ		Gravity Falls
性行為		Sexual intercourse
性欲の権化		Embodiment of lust
性欲		Sexual desire
性教育実習		Sex education practice
性感		Sensual sensation
性女		Sex woman
性大祭9		Sex Festival 9
性夜		Sex night
性器破壞		Genital destruction
性具散乱		Scattered sex toys
性具		Sex toys
性の自由研究		Sexual free research
急所責め		Target attack
急所攻撃		Vital spot attack
急性アルコール中毒		Acute alcohol poisoning
快感携帯電話相談室		Pleasure cell phone consultation room
忘归人		Forgotten person
志村ー!漢字漢字!		Shimura! Kanji Kanji!
志木麗佳		Shiki Reika
忍び		Ninja
心臓貫通	insert	Heart penetration
心臓		Heart
心夏		Kokona
徳川まつり		Tokugawa Matsuri
微笑み		Smile
御札		Talisman
御巫(遊戯王)	©	Shrine maiden (Yu-Gi-Oh!)
御巫		Mikoto
御子神リコ		Mikogami Riko
御咲灯花		Misaki Touka
後ろ矢筈		Arrowhead behind
後ろ手		Hands behind back
後ろから見えるおっぱい	tit	Boobs visible from behind
律子		Ritsuko
影森みちる		Kagemori Michiru
彩華		Ayaka
形くっきりペニス	dick	Clearly defined penis
强迫		Coercion
强暴		Rape
弹丸论破		Bullet gun refutation
強気		Confident
強制飲食		Forced eating and drinking
強制百合	not_solo yuri	Forced yuri
強制オナニー	sm mast	Forced masturbation
強制くぱぁ		Forced spread legs
強催眠club		Strong hypnosis club
強催淫性フェロモン噴出		Strong aphrodisiac pheromone release
弱音ハク		Weak Haku
弦巻マキ		Tsurumaki Maki
弦乃咲のお題箱		Tsurunosaki's suggestion box
张腿		Spread legs
弟は見た		My younger brother saw
弓道		Kyudo (Japanese archery)
弓矢		Bow and arrow
弓田信哉		Yumita Shinya
弓兵ソーマ		Archer So M
弓使い		Archer
弁財天(モンスト)	©	Benzaiten (Monster Strike)
弁財天		Benzaiten
弁天(うる星やつら)	©	Benten (Urusei Yatsura)
弁天		Benten
开大车		Large vehicle
廣井きくり	clit	Hiroi Kikuri
廉恥		Shameless
廃病院		Abandoned hospital
廃墟		Ruins
廃人(ガチ)量産機		Mass-producing machine for hardcore addicts
废墟图书馆		Ruins library
店員さん		Shop assistant
店員		Shop assistant
底なし沼		Bottomless swamp
床舐め	tongue	Floor licking
幽霊娘		Ghost girl
幽灵鲨		Ghost shark
幽灵娘		Ghost girl
幼児化		Infancy
幻想郷一位の藍さま		Gensokyo's number one, Ran-sama
幻想		Fantasy
幻夢戦記レダ		Genmu Senki Leda
幸せの象徴		Symbol of happiness
年賀イラスト		New Year's illustration
年末のご挨拶		Year-end greetings
平野美晴		Hirano Miharu
平和		Peace
師匠ランサー		Master Lancer
希露·珂露蒂娅		Kirou · Karutiya
布越し射精	cum	Ejaculation through cloth
布越しセックス		Sex through cloth
布田裕美音		Yumi Futa
布団		Futon
市川雛菜		Hinana Ichikawa
市中引き回し		Public parade
巾着袋		Drawstring bag
巳年		Year of the Snake
差分希望		Difference requested
巫女水着	swim costume	Shrine maiden swimsuit
巨根白腰夢	dick	Huge penis white waist dream
巨尻/調教		Huge ass/training
巨大的蛋蛋		Giant eggs
巨大ロボット		Giant robot
巨乳魔王の敗北	tit	Defeat of the big-breasted demon lord
巨乳長	tit	Big-breasted leader
巨乳兵	tit	Big-breasted soldier
巨乳ランドセル	tit	Big-breasted schoolbag
巨乳ファンタジー	tit	Big-breasted fantasy
巨乳キャラクター	tit	Big-breasted character
巨乳を超えた大巨乳	tit	Big breasts beyond big breasts
巨マン/巨クリ/巨乳首/小陰唇/サンタコス/アナルパール	clit pussy anal nip	Huge pussy/Huge clitoris/Big nipples/Labia minora/Santa costume/Anal Pearl
巨マン		Giant Man
左手薬指		Left Ring Finger
左右非対称乳	tit	Asymmetrical Breasts
工口处刑		Erotic Execution
巡洋艦		Cruiser
川島瑞樹		Mizuki Kawashima
川島みなみ		Minami Kawashima
川咲さくら		Sakura Kawasaki
川内		Sendai
川井モナ		Mona Kawai
崩壊;スターレイル		Collapse; Star Rail
崩坏星穹铁道Honkai:		Collapse Star Rail Honkai:
崩坏		Collapse
崩三		Collapse III
島風の服		Shimakaze's Clothes
島風(艦隊これくしょん)	©	Shimakaze (Kantai Collection)
島田千代		Chiyo Shimada
島村卯月/前川みく/水本ゆかり/乙倉悠貴/佐久間まゆ		Uzuki Shimamura/Miku Maekawa/Yukari Mizumoto/Yuki Otogura/Mayu Sakuma
島村		Shimamura
峰津院都		Miyako Minezuin
峰不二子		Fujiko Mine
岩永琴子		Kotoko Iwanaga
岡崎みく		Miku Okazaki
岁己sui		Seiji ui
山神カルタ		Yamagami Karuta
山猪		Yama Inoshishi
山本玲		Yamamoto Rei
山城由依		Yamashiro Yui
山城(アズールレーン)	©	Yamashiro (Azur Lane)
屍姦		Necrophilia
屋内		Indoors
屈辱/恥辱/辱め/羞恥/無様エロ/尊厳破壊/痴態		Humiliation/Disgrace/Shame/Shame/Unseemly Erotic/Destruction of Dignity/Lewd Behavior
尿道処刑	pussy expose ryona	Urethral execution
尿道/Dilation_belt_ぐぱぁ/拡張/子宮口	pussy expose gear	Urethra/Dilation belt/spread/dilation/cervix
尿浴び	uro	Urine bath
尿欲	uro lust	Urine desire
尿ぶっかけ	uro cum	Urine bukkake
尾鳥たん		Otori Tan
尾刃カンナ		Oba Kanna
尼奥波莉丹		Amaoku Haritan
尻鷲掴み	ass	Butt Grab
尻肉	ass	Butt Meat
尻神様/かわいいお尻	ass	Butt God/Cute Butt
尻神样	ass	Butt God Spirit
尻破れ	ass	Tearing Butt
尻尾オナホ	mast toy	Tail Masturbation Toy
尻合わせ	ass	Butt Pressing
尻にマーク	ass	Mark on Butt
尸解ユヱ		Shikai Yue
少女入浴中		Girl Bathing
少女と裏路地		Girl in a Back Alley
少佐		Major
少し消化されている		Slightly Digested
小麦色の肌		Wheat-colored Skin
小麦肌		Tan skin
小鳥遊聖		Takanashi Sei
小鳥遊美羽		Takanashi Miwa
小鳥遊キアラ		Takanashi Kiara
小野寺小咲		Onodera Kosaki
小豆沢こはね		Azusawa Kohane
小豆梓		Azuki Azusa
小舞		Komai
小穴塞袜子		Oana Saiko
小穴		Oana
小瀬川白望		Osegawa Shirami
小早川凛子		Kobayakawa Rinko
小日向彩羽		Kohinata Iroha
小悪魔王・織田信長		Little Demon King Oda Nobunaga
小峠英二		Kotoge Eiji
小妻要		Ozuma Kaname
小便器舐め	tongue uro toilet	Licking a urinal
小便シャワー	uro	Urine shower
小人		Dwarf
尋問		Interrogation
封神		Fengshen
寿真		Kotobuki Makoto
寿みなみ		Kotobuki Minami
対魔忍アサギ(アニメ)	tm	Taimanin Asagi (anime)
対魔忍RPG		Taimanin RPG
対面座位		Face-to-face sitting position
寶月夜宵		Takatsuki Yayoi
寧々たん絵		Nene-tan illustration
寝転びション	uro	Peeing while lying down
寝巻き		Nightgown
寝室		Bedroom
寝バック		Sleeping from behind
寒冷フェチ		Cold fetish
寒中お見舞い		Winter greetings
密着		Close contact
寅丸星		Toramaru Hoshi
寅		Tora
寄せ乳	tit	Breast cleavage
家守霧子		Iemori Kiriko
家具		Furniture
家元		Head of the school
宵崎奏		Yoizaki Kanade
宴		Banquet
宮廷剣士サビーネ		Court Swordsman Sabine
宮崎邑		Miyazaki Yuu
宮尾美也		Miyao Miya
宮下愛		Miyashita Ai
室内		Indoors
実況		Live commentary
宝瞳マリン		Hōdō Marin
宝可梦		Hōkamen
定点カメラ		Fixed-point camera
宗教画		Religious painting
完熟四季王		Ripe Four Seasons King
完成		Completion
完堕ちキス		Complete fall kiss
完堕ち		Complete fall
完全裸		Completely naked
安藤(GuP)	©	Ando (GuP)
安産祈願		Prayer for safe childbirth
安産		Safe childbirth
安心院アンジェリーナ		Anshin'in Angelina
安心して下さい、生えてますよ		Don't worry, it's growing
安全日		Safe day
安ピンの日		Safe pin day
守岸人		Morigishinto
守りたい、この笑顔		I want to protect this smile
宇津见绘里世		Utsumi Eriyo
宇崎瞳		Uzaki Hitomi
宇宙戦艦ヤマト		Space Battleship Yamato
宇宙ドーナツ		Space donut
宇宙		Space
宇佐美みいな		Usami Miina
宅配便		Delivery service
宁茵		Níng yīn
学生艦娘		Ningyin Student ship girl
学園ロマンチカ		School Romantica
学園トロイメライ		School Traumerei
孕婦		Pregnant woman
子宮責め		Uterine torture
子宮摘出		Hysterectomy
子宮オナホ	mast gear	Uterine masturbation device
子宮をノック		Knocking on the uterus
子宮のポーズ		Uterine pose
子供化		Infancy
嬲		Teasing
嬉ション	uro	Peeing with joy
嫐		Nǎo
媚薬ローション		Aphrodisiac lotion
婦人警官		Female police officer
娜美		Nami
娘化		Daughterification
姫騎士		Princess knight
姫野(チェンソーマン)	©	Himeno (Chainsaw Man)
姫海棠はたて		Himekaidou Hatate
姫川友紀		Himekawa Yuki
姫始め		First time as a princess
姫初め不可避		First time as a princess is inevitable
姫		Princess
委員長		Class president
姉蜘蛛		Sister spider
姉浜		Sister Hama
姉体験週間		Sister experience week
妹様マジ天使		My little sister is truly an angel
妲己(Fate)	©	Daji (Fate)
妲己		Daji
妮露		Niro
妮可		Nike
妬視		Jealous gaze
妖精騎士ガウェイン		Fairy knight Gawain
妖怪		Yokai
妖夢		Youmu
妊娠確実		Pregnancy certain
妊娠確定		Pregnancy confirmed
妊娠DB		Pregnancy DB
妃咲		Hisaki
如月火煉		Kisaragi Karen
如月ハニー		Kisaragi Honey
奶子	milk	Milk
奴隷服		Slave outfit
奴隷娼婦		Slave prostitute
奴隷堕ち		Fallen into slavery
女魔王(ステラソラ)	©	Female Demon King (Stella Sora)
女魔法使い(DQ3)	©	Female Mage (DQ3)
女高中生		Female High School Student
女賢者		Female Sage
女装男子		Crossdressing Man
女装少年		Crossdressing Boy
女肉		Female Flesh
女神		Goddess
女相撲		Female Sumo Wrestler
女盗賊		Female Thief
女湯		Women's Bathhouse
女格鬥家		Female Fighter
女戰士		Female Warrior
女戦士(DQ3)	©	Female Warrior (DQ3)
女性秘書		Female Secretary
女性形デジモン		Female Digimon
女性同士		Female-Female
女幽霊		Female Ghost
女尻	ass	Female Buttocks
女尊男卑		Female Supremacy
女孩		Female Child
女子小学生		Female Elementary School Student
女子学生		Female Student
女天使		Female Angel
女囚縛り	bond	Female Prisoner Bondage
女医		Female Doctor
女化		Female Transformation
女勇者(DQ3)	©	Female Hero (DQ3)
女児水着	swim	Girl's Swimsuit
女児ぱんつ		Girl's panties
女僧侶(DQ3)	©	Female Priest (DQ3)
女僕		Maid
女体盛り		Female body sushi
女体燭台		Female body candlestick
女体化注意		Warning: Female transformation
女体の神秘		Mystery of the female body
女仆		Maid
女上連串し喉奥	throat	Female skewered deep in the throat
女レンジャー(アラド戦記)	©	Female Ranger (Dungeon Fighter Online)
女モンスター		Female Monster
女ピエロ		Female Clown
女セルフ飲尿	uro mouth lust	Female self-drinking urine
女グラップラー(アラド戦記)	©	Female Grappler (Dungeon Fighter Online)
女クルセイダー(アラド戦記)	©	Female Crusader (Dungeon Fighter Online)
女ガンナー		Female Gunner
女の性欲		Female Sexual Desire
女の子同士		Girls Together
女の子の日		Girl's Day
女×ふた		Female x Futa
奪われた刻印		The Stolen Seal
奥沢美咲		Okusawa Misaki
奥村春		Okumura Haru
奥戸羽スミレ		Okutoba Sumire
奏流院朱美		Souryuuin Akemi
奉仕部		Service Club
奈奈姫		Nanahime
失踪した妻からの寝取られビデオレター		A Video Letter of Infidelity from My Missing Wife
夫婦以上、恋人未満。		More Than a Couple, Less Than Lovers.
太極図		Taijitu
太ももからこんにちは		Hello from the Thighs
天馬司		Tenma Tsukasa
天雨アコ(ドレス)	©	Amaame Ako (Dress)
天院紅呼鈴		Ten'in Beni Korin
天野陽菜	©	Amano Hina
天野寧々	©	Amano Nene
天野めぐみはスキだらけ!		Amano Megumi is Full of Openings!
天野めぐみはスキだらけ		Amano Megumi is Full of Openings
天野めぐみ	©	Amano Megumi
天色*アイルノーツ		Amairo*Ailnotes
天羽雅音		Amaha Masane
天空橋朋花		Tenkubashi Tomoka
天空の花嫁		Bride of the Sky
天王洲なずな		Nazuna Tennozu
天狼拳エメラルダ		Emeralda Tenrouken
天火		Tenka
天才		Genius
天川薫子		Kaoruko Amakawa
天宮薫子		Kaoruko Amamiya
天城	©	Amagi
天地無用!魎皇鬼		Tenchi Muyo! Ryo-Ohki
天地無用!		Tenchi Muyo!
天内理子		Riko Amanai
天元突破グレンラガン		Tengen Toppa Gurren Lagann
天使ルリエル		Angel Ruriel
天使みゅ。		Angel Myu.
天使の悪魔		Angel's Demon
天使しかいない		Only Angels
天体		Celestial Body
天乳	tit	Heavenly Breasts
天ノ川きらら		Kirara Amanogawa
天々座理世		Rize Tedeza
大黑塔		Great Black Tower
大麻		Marijuana
大鳳(戦艦少女)		Taihou (Battleship Girl)
大鳳(META)		Taihou (META)
大魔王と八つの柱駒		The Great Demon King and the Eight Pillar Pieces
大鎌		Great Scythe
大量放尿	uro	Massive urination
大量ぶっかけ	cum	Massive Cumshot
大輪姦	not_solo sex sm	Gang Rape
大褐色時代		The Great Tan Era
大藍祭		Great Indigo Festival
大艦巨乳主義/即夜戦	tit	Big Ship Big Breast Doctrine/Night Battle
大胆なおっぱい	tit	Bold Breasts
大空直美		Naomi Oozora
大神澪		Mio Ogami
大破		Heavy Damage
大淀(艦隊これくしょん)	©	Oyodo (Kantai Collection)
大淀		Oyodo
大気光		Great Light
大槻唯/及川雫/久川凪/城ヶ崎莉嘉/藤原肇/桐生つかさ		Yui Otsuki / Shizuku Oikawa / Nagi Hisakawa / Rika Jougasaki / Hajime Fujiwara / Tsukasa Kiryu
大槻唯		Yui Otsuki
大根		Radish
大張正己		Masami Obari
大峰		Omine
大屁股	ass	Big Butt
大宮忍		Shinobu Omiya
大姐姐		Big Sister
大垣ひなた		Hinata Ogaki
大喬		Da Qiao
大凤		Da Feng
大便	sca	Feces
大人の女性		Adult Woman
大人の世界		Adult World
大丈夫だ、問題ない		It's Okay, No Problem
大おもらし		Big Bedwetting
大9州東方祭		Great 9th State Eastern Festival
夢野花梨		Karin Yumeno
夢幻戦士ヴァリス		Valis the Dream Warrior
夜桜		Night Cherry Blossoms
夜景		Night View
夜叉姫		Yashahime
多萝西		Taraxi
多喜		Taki
多人数		Many People
多々良小傘		Kogasa Tatara
夕部ゆり		Yuri Yube
夕焼ヒノ		Hino Yuuyake
夕焼け		Sunset
夕暮れ		Twilight
夕時雨		Evening Rain
夕張		Yubari
夏空のやくそく		Summer Sky Promise
夏神楽		Summer Kagura
夏目アンアン		An'an Natsume
夏洛特		Xia Luot
夏侯雪		Xiahou Xue
夏休みの工作(子供)		Summer Vacation Craft (Children)
夏の災難!?		Summer Disaster!?
夏の思い出		Summer Memories
変身		Transformation
変態王子と笑わない猫。		The Perverted Prince and the Laughing Cat.
変態王子と笑わない猫		The Perverted Prince and the Laughing Cat
変態女		Perverted Woman
変幻装姫シャインミラージュ		Shapeshifting Princess Shine Mirage
売買		Buy and Sell
売り切れてるよ…再販希望		Sold Out... Hoping for a Restock
声望		Voice of Desire
声我慢		Hold Back Your Voice
士道さん美味しそうですわ		Shido-san Looks Delicious
壊理		Eri
壁ション	uro	Peeing Against the Wall
塩見周子		Shiomi Shuko
塞雷娅		Saireiya
塞蕾斯蒂娅		Saireitiya
堕霊夢		Fallen Reimu
堕姫		Daki
堕ち		Fallen
堀北鈴音		Horikita Suzune
埴安神袿姫		Haniyasushin Keihime
城壁のハチコ		Hachiko of the Castle Wall
埋まりたい乳	tit	Breasts I Want to Bury In
埃塞克斯		Essex
地雷		Landmine
地産地消		Local Production for Local Consumption The Earth was blue
地球は青かった		Hell Teacher Nube
地獄先生ぬ〜べ〜		Plain
地味		Underground fighting arena
地下闘技場		Tabi boots
地下足袋		Basement
地下室		Underground idol shameful exposure live
地下アイドル羞恥露出ライブ		Underground idol
地下アイドル		Overwhelming survey
圧倒的なアンケート		Saint Louis
圣路易斯		Christmas
圣诞		Christmas
圣地亚哥		Santiago
土佐(アズールレーン)	©	Tosa (Azur Lane)
園崎魅音		Sonozaki Mion
图耶		Tuya
国风		National style
固法美偉		Kofumii
固め		Holding down
図書館		Library
囲夜琴音		Iya Kotone
因幡はねる		Inaba Haneru
四肢封印		Limb sealing
四竜大公		Four Dragons Grand Duke
四条貴音/三浦あずさ/桜守歌織/百瀬莉緒		Takane Shijou / Azusa Miura / Kaori Sakuramori / Rio Momose
四本腕		Four Arms
四国めたん		Shikoku Metan
囚犯		Prisoner
囚人服		Prisoner Uniform
囚われの身		Captive
器具くぱぁ		Spreading Device
噛みつき		Biting
噂のガノトトス		The Rumored Ganototos
嘉米		Kamai
喷水		Squirting Water
喷乳	milk	Squirting Milk
喪服		Mourning Clothes
喉射	throat	Throat Shot
喉奥射精	cum throat	Deep Throat Ejaculation
商業誌		Commercial Magazine
商業		Commercial
商人ちゃん		Merchant-chan
唾液風呂	mouth	Saliva Bath
唯登詩樹		Yuito Shiki
唯		Yui
唐九夏还想再躺一下		Tang Jiuxia Wants to Lie Down Again
唐九夏		Tang Jiuxia
哪吒之魔童闹海		Nezha's Demon Child in the Sea
哥布林		Goblin
咲畑梨深		Sakihata Rimi
咥えゴム(使用済み)	mouth	Used condom on mouth
和風ビキニアーマー	costume	Japanese-Style Bikini Armor
和铃		Wasuzune
和泉香織		Izumi Kaori
和泉愛衣		Izumi Ai
和泉元エイミ(臨戦)	©	Izumi Gen Amy (Ready for Battle)
和彫		Japanese tattoo
和式便所		Japanese-style toilet
和室		Japanese-style room
咀嚼		Chewing
呪術廻戦		Jujutsu Kaisen
周防桃子		Suou Momoko
周防有希		Suou Yuki
吹雪		Fubuki
吹寄制理		Fukiyose Seiri
吸血鬼狩人フーリ		Vampire Hunter Furi
吸血鬼		Vampire
吸い付きたくなるオッパイ	tit	Boobs you want to suck on
吟霖		Yin Lin
吞精	cum	Swallowing semen
君のことが大大大大大好きな100人の彼女		100 girlfriends who really, really, really, really love you
君たちにとっては多分、パラレルワールドの出来事だ		For you, it's probably an event in a parallel world
吐舌	tongue	Spitting out tongue
后入式		After-entry ceremony
后入		After-entry
名札		Name tag
名探偵プリキュア!		Detective Precure!
名古屋団地		Nagoya housing complex
同意せざるを得ない		I have no choice but to agree
同人再録		Doujin reprint
同一CP		Same pairing
同キャラ		Same character
吊袜带		Suspenders
